league,player,signed,expiration,years_remaining
Primera Division,Paulo Díaz,"Jul 10, 2024","Dec 31, 2027",3
Primera Division,Sebastián Driussi,"Jan 17, 2025","Dec 31, 2028",4
Primera Division,Franco Armani,"Apr 17, 2024","Dec 31, 2026",2
Primera Division,Gonzalo Montiel,"Jan 20, 2025","Dec 31, 2028",4
Primera Division,Edinson Cavani,"Oct 4, 2024","Dec 31, 2026",2
Primera Division,Lucas Martínez Quarta,"Jan 15, 2025","Dec 31, 2028",4
Primera Division,Gonzalo Martínez,"Aug 24, 2023","Dec 31, 2025",1
Primera Division,Ander Herrera,"Jan 17, 2025","Dec 31, 2026",2
Primera Division,Guido Carrillo,"Sep 5, 2024","Dec 31, 2026",2
Primera Division,Santiago Ascacíbar,"Jul 1, 2023","Dec 31, 2026",2
Primera Division,Alejo Veliz,"Jul 8, 2025","Jun 30, 2026",2
Primera Division,Nacho Fernández,"Jan 1, 2023","Dec 31, 2025",1
Primera Division,Leandro Paredes,"Jul 10, 2025","Dec 31, 2028",4
Primera Division,Maximiliano Salas,"Jul 11, 2025","Dec 31, 2029",5
Primera Division,Alan Velasco,"Jan 23, 2025","Dec 31, 2028",4
Primera Division,Kevin Castaño,"Mar 12, 2025","Dec 31, 2028",4
Primera Division,Fabricio Bustos,"Aug 9, 2024","Dec 31, 2027",3
Primera Division,Marcos Acuña,"Aug 20, 2024","Dec 31, 2027",3
Primera Division,Germán Pezzella,"Aug 5, 2024","Dec 31, 2027",3
Primera Division,Maximiliano Meza,"Aug 15, 2024","Dec 31, 2026",2
Primera Division,Miguel Borja,"Jul 12, 2022","Dec 31, 2025",1
Primera Division,Elías Gómez,"Aug 27, 2025","Dec 31, 2028",4
Primera Division,Juan Fernando Quintero,"Jul 17, 2025","Dec 31, 2027",3
Primera Division,Cristian Medina,"Jan 18, 2025","Dec 31, 2029",5
Primera Division,Enzo Copetti,"Jun 1, 2024","Dec 31, 2027",3
Primera Division,Víctor Malcorra,"Jun 25, 2022","Dec 31, 2025",1
Primera Division,Lucas Alario,"Jan 15, 2025","Dec 31, 2026",2
Primera Division,Diego Valdés,"Jul 6, 2025","Dec 31, 2027",3
Primera Division,Manuel Lanzini,"Aug 21, 2025","Dec 31, 2026",2
Primera Division,Juan Ramírez,"Jan 31, 2025","Dec 31, 2025",1
Primera Division,Sergio Romero,"Jun 6, 2024","Dec 31, 2025",1
Primera Division,Frank Fabra,"Nov 5, 2022","Dec 31, 2025",1
Primera Division,Milton Giménez,"Jul 7, 2024","Dec 31, 2027",3
Primera Division,Matías Pellegrini,"Jan 9, 2024","Dec 31, 2025",1
Primera Division,Miguel Merentiel,"Feb 8, 2024","Dec 31, 2027",3
Primera Division,Claudio Baeza,"Sep 1, 2025","Dec 31, 2027",3
Primera Division,Milton Casco,"Sep 13, 2022","Dec 31, 2025",1
Primera Division,Matías Zaracho,"Jan 17, 2025","Dec 31, 2028",4
Primera Division,Éver Banega,"Jan 21, 2024","Dec 31, 2025",1
Primera Division,Jorge Figal,"Mar 15, 2024","Dec 31, 2027",3
Primera Division,Darío Benedetto,"Jul 6, 2025","Jun 30, 2026",2
Primera Division,Santiago Sosa,"Jan 20, 2025","Dec 31, 2027",3
Primera Division,Richard Sánchez,"Mar 12, 2025","Dec 31, 2028",4
Primera Division,Marcos Rojo,"Aug 10, 2025","Jun 30, 2026",2
Primera Division,Facundo Colidio,"Jul 18, 2025","Dec 31, 2027",3
Primera Division,Juan Carlos Portillo,"Jul 24, 2025","Dec 31, 2028",4
Primera Division,Cristian Lema,"Jan 8, 2024","Dec 31, 2025",1
Primera Division,Facundo Farías,"Jan 31, 2025","Dec 31, 2028",4
Primera Division,Jeremías Ledesma,"Jul 6, 2024","Dec 31, 2028",4
Primera Division,Fernando Muslera,"Jul 6, 2025","Dec 31, 2026",2
Primera Division,Gabriel Neves,"Jul 20, 2024","Dec 31, 2027",3
Primera Division,Luis Advíncula,"Jul 31, 2021","Dec 31, 2026",2
Primera Division,Nahuel Bustos,"Jul 1, 2023","Dec 31, 2026",2
